HBM08	2	1	3	10
HBM08	2	1	4	10
HBM08	2	1	5	11
HBM08	2	2	0	13
HBM08	2	2	1	16
HBM08	2	2	2	19
HBM08	2	2	3	11
HBM08	2	2	4	14
HBM08	2	2	5	17
HBM08	2	3	0	12
HBM08	2	3	1	15
HBM08	2	3	2	18
HBM08	2	3	3	13
HBM08	2	3	4	16
HBM08	2	3	5	20
HBM08	3	1	0	8
HBM08	3	1	1	8
HBM08	3	1	2	8
HBM08	3	1	3	8
HBM08	3	1	4	8
HBM08	3	1	5	9
HBM08	3	2	0	11
HBM08	3	2	1	14
HBM08	3	2	2	17
HBM08	3	2	3	9
HBM08	3	2	4	12
HBM08	3	2	5	15
HBM08	3	3	0	10
HBM08	3	3	1	13
HBM08	3	3	2	16
HBM08	3	3	3	11
HBM08	3	3	4	14
HBM08	3	3	5	18
HBM08	4	1	0	7
HBM08	4	1	1	7
HBM08	4	1	2	7
HBM08	4	1	3	7
HBM08	4	1	4	7
HBM08	4	1	5	8
HBM08	4	2	0	10
HBM08	4	2	1	13
HBM08	4	2	2	16
HBM08	4	2	3	8
HBM08	4	2	4	11
HBM08	4	2	5	14
HBM08	4	3	0	9
HBM08	4	3	1	12
HBM08	4	3	2	15
HBM08	4	3	3	10
HBM08	4	3	4	13
HBM08	4	3	5	17
HBM09	1	1	0	10
HBM09	1	1	1	10
HBM09	1	1	2	10
HBM09	1	1	3	10
HBM09	1	1	4	10
HBM09	1	1	5	11
HBM09	1	2	0	13
HBM09	1	2	1	16
HBM09	1	2	2	19
HBM09	1	2	3	11
HBM09	1	2	4	14
HBM09	1	2	5	17
HBM09	1	3	0	12
HBM09	1	3	1	15
HBM09	1	3	2	18
HBM09	1	3	3	13
HBM09	1	3	4	16
HBM09	1	3	5	20
HBM09	2	1	0	11
HBM09	2	1	1	11
HBM09	2	1	2	11
HBM09	2	1	3	11
HBM09	2	1	4	11
HBM09	2	1	5	12
HBM09	2	2	0	14
HBM09	2	2	1	17
HBM09	2	2	2	20
HBM09	2	2	3	12
HBM09	2	2	4	15
HBM09	2	2	5	18
HBM09	2	3	0	13
HBM09	2	3	1	16
HBM09	2	3	2	19
HBM09	2	3	3	14
HBM09	2	3	4	17
HBM09	2	3	5	21
HBM09	3	1	0	9
HBM09	3	1	1	9
HBM09	3	1	2	9
HBM09	3	1	3	9
HBM09	3	1	4	9
HBM09	3	1	5	10
HBM09	3	2	0	12
HBM09	3	2	1	15
HBM09	3	2	2	18
HBM09	3	2	3	10
HBM09	3	2	4	13
HBM09	3	2	5	16
HBM09	3	3	0	11
HBM09	3	3	1	14
HBM09	3	3	2	17
HBM09	3	3	3	12
HBM09	3	3	4	15
HBM09	3	3	5	19
HBM09	4	1	0	8
HBM09	4	1	1	8
HBM09	4	1	2	8
HBM09	4	1	3	8
HBM09	4	1	4	8
HBM09	4	1	5	9
HBM09	4	2	0	11
HBM09	4	2	1	14
HBM09	4	2	2	17
HBM09	4	2	3	9
HBM09	4	2	4	12
HBM09	4	2	5	15
HBM09	4	3	0	10
HBM09	4	3	1	13
HBM09	4	3	2	16
HBM09	4	3	3	11
HBM09	4	3	4	14
HBM09	4	3	5	18
HBM10	1	1	0	10
HBM10	1	1	1	10
HBM10	1	1	2	10
HBM10	1	1	3	10
HBM10	1	1	4	10
HBM10	1	1	5	11
HBM10	1	2	0	13
HBM10	1	2	1	16
HBM10	1	2	2	19
HBM10	1	2	3	11
HBM10	1	2	4	14
HBM10	1	2	5	17
HBM10	1	3	0	12
HBM10	1	3	1	15
HBM10	1	3	2	18
HBM10	1	3	3	13
HBM10	1	3	4	16
HBM10	1	3	5	20
HBM10	2	1	0	11
HBM10	2	1	1	11
HBM10	2	1	2	11
HBM10	2	1	3	11
HBM10	2	1	4	11
HBM10	2	1	5	12
HBM10	2	2	0	14
HBM10	2	2	1	17
HBM10	2	2	2	20
HBM10	2	2	3	12
HBM10	2	2	4	15
HBM10	2	2	5	18
HBM10	2	3	0	13
HBM10	2	3	1	16
HBM10	2	3	2	19
HBM10	2	3	3	14
HBM10	2	3	4	17
HBM10	2	3	5	21
HBM10	3	1	0	9
HBM10	3	1	1	9
HBM10	3	1	2	9
HBM10	3	1	3	9
HBM10	3	1	4	9
HBM10	3	1	5	10
HBM10	3	2	0	12
HBM10	3	2	1	15
HBM10	3	2	2	18
HBM10	3	2	3	10
HBM10	3	2	4	13
HBM10	3	2	5	16
HBM10	3	3	0	11
HBM10	3	3	1	14
HBM10	3	3	2	17
HBM10	3	3	3	12
HBM10	3	3	4	15
HBM10	3	3	5	19
HBM10	4	1	0	10
HBM10	4	1	1	10
HBM10	4	1	2	10
HBM10	4	1	3	10
HBM10	4	1	4	10
HBM10	4	1	5	11
HBM10	4	2	0	13
HBM10	4	2	1	16
HBM10	4	2	2	19
HBM10	4	2	3	11
HBM10	4	2	4	14
HBM10	4	2	5	17
HBM10	4	3	0	12
HBM10	4	3	1	15
HBM10	4	3	2	18
HBM10	4	3	3	13
HBM10	4	3	4	16
HBM10	4	3	5	20
HBM11	1	1	0	8
HBM11	1	1	1	8
HBM11	1	1	2	8
HBM11	1	1	3	8
HBM11	1	1	4	8
HBM11	1	1	5	9
HBM11	1	2	0	11
HBM11	1	2	1	14
HBM11	1	2	2	17
HBM11	1	2	3	9
HBM11	1	2	4	12
HBM11	1	2	5	15
HBM11	1	3	0	10
HBM11	1	3	1	13
HBM11	1	3	2	16
HBM11	1	3	3	11
HBM11	1	3	4	14
HBM11	1	3	5	18
HBM11	2	1	0	9
HBM11	2	1	1	9
HBM11	2	1	2	9
HBM11	2	1	3	9
HBM11	2	1	4	9
HBM11	2	1	5	10
HBM11	2	2	0	12
HBM11	2	2	1	15
HBM11	2	2	2	18
HBM11	2	2	3	10
HBM11	2	2	4	13
HBM11	2	2	5	16
HBM11	2	3	0	11
HBM11	2	3	1	14
HBM11	2	3	2	17
